Temperature,ADC count,Mean
-45,17577,0.268054651919323
-40,17969,0.274560832791152
-35,18358,0.280416395575797
-30,18748,0.286271958360442
-25,19149,0.292127521145088
-20,19536,0.297983083929733
-15,19928,0.303838646714379
-10,20356,0.31099544567339
-5,20741,0.316851008458035
0,21120,0.322055953155498
5,21558,0.329212752114509
10,21955,0.335068314899154
15,22358,0.341574495770982
20,22755,0.347430058555628
25,23172,0.353285621340273
30,23555,0.359791802212101
35,23983,0.365647364996747
40,24387,0.372153545868575
45,24774,0.378009108653221
50,25202,0.384515289525049
55,25611,0.391021470396877
60,26037,0.397527651268705
65,26393,0.402732595966168
70,26816,0.409238776837996
75,27232,0.415744957709824
80,27632,0.42160052049447
85,28053,0.428106701366298
90,28491,0.434612882238126
95,28897,0.441119063109954
100,29284,0.4469746258946
105,29689,0.452830188679245
110,30121,0.459336369551074
115,30534,0.465842550422902
120,30957,0.47234873129473
125,31377,0.478854912166558
130,31776,0.484710474951204
135,32180,0.491216655823032
140,32600,0.497072218607677
145,33039,0.504229017566688
150,33459,0.510735198438517
155,33847,0.516590761223162
